Subject,Control,Complexity,Num_A,Num_sim,Regret_cum
1,sharedergodic,low,1,665,2.21867847410106
1,autoergodic,low,1,665,10.1885687898547
1,none,high,1,665,4.31199556802718
1,waypoint,high,1,665,11.5914493560724
1,directergodic,high,1,665,8.94025743045637
1,sharedergodic,high,1,665,9.43711479327667
1,autoergodic,high,1,665,4.65409193314346
1,none,low,1,854,8.1081521331616
1,waypoint,low,1,854,12.5669888088507
1,directergodic,low,1,854,4.91469431738315
1,sharedergodic,low,1,854,2.21175113419959
1,autoergodic,low,1,854,10.0893736588189
1,none,high,1,854,4.3975488467157
1,waypoint,high,1,854,11.6639229547974
1,directergodic,high,1,854,9.28198216502787
1,sharedergodic,high,1,854,9.7438068560344
1,autoergodic,high,1,854,4.93205328356294
1,none,low,3,1,790.747626896163
1,waypoint,low,3,1,980.313706142267
1,directergodic,low,3,1,1172.8514948732
1,sharedergodic,low,3,1,1027.59911469714
1,autoergodic,low,3,1,1024.44544459024
1,none,high,3,1,1341.04193965733
1,waypoint,high,3,1,1113.25961410102
1,directergodic,high,3,1,1307.98776506361
1,sharedergodic,high,3,1,1218.67194520402
1,autoergodic,high,3,1,1090.04696160535
1,none,low,3,2,780.346724386156
1,waypoint,low,3,2,900.783616378844
1,directergodic,low,3,2,743.999333260198
1,sharedergodic,low,3,2,756.741424347725
1,autoergodic,low,3,2,756.369902991064
1,none,high,3,2,1040.71262889041
1,waypoint,high,3,2,599.962523065258
1,directergodic,high,3,2,705.222616099675
1,sharedergodic,high,3,2,899.401469357107
1,autoergodic,high,3,2,797.822825328763
1,none,low,3,3,650.805404771612
1,waypoint,low,3,3,618.785501634462
1,directergodic,low,3,3,603.441061636094
1,sharedergodic,low,3,3,504.221120000411
1,autoergodic,low,3,3,704.286591602821
1,none,high,3,3,654.443649330232
1,waypoint,high,3,3,652.796618429179
1,directergodic,high,3,3,657.006450276234
1,sharedergodic,high,3,3,657.939961424093
1,autoergodic,high,3,3,802.017122275041
1,none,low,3,4,606.360060791753
1,waypoint,low,3,4,277.241448051915
1,directergodic,low,3,4,306.388612178449
1,sharedergodic,low,3,4,458.351097053147
1,autoergodic,low,3,4,566.04443924548
1,none,high,3,4,353.923584740463
1,waypoint,high,3,4,316.818200791587
1,directergodic,high,3,4,703.477057454212
1,sharedergodic,high,3,4,468.315895897011
1,autoergodic,high,3,4,358.902544432325
1,none,low,3,6,215.329920822516
1,waypoint,low,3,6,117.530017714146
1,directergodic,low,3,6,260.122258612296
1,sharedergodic,low,3,6,358.063921538131
1,autoergodic,low,3,6,114.653014946875
1,none,high,3,6,160.144688693765
1,waypoint,high,3,6,226.097966280937
1,directergodic,high,3,6,415.871930411634
1,sharedergodic,high,3,6,218.833291927588
1,autoergodic,high,3,6,257.088173401909
1,none,low,3,7,164.322488244384
1,waypoint,low,3,7,362.762126080234
1,directergodic,low,3,7,71.060003503922
1,sharedergodic,low,3,7,260.237888216772
